ID,GENERO,EDAD,EDU,SENSA.SUELDO,DIARIO,TV,ROBO5.A,SEGURO.NOCHE,RELIGION,MINORIA,INM.RICOS,INM.POBRES,D.ECO,CRIMEN,INM.LARGO,TENSION
5,1,38,3,3,1,4,2,2,0,2,2,1,4,2,3,5
8,1,20,2,2,0,3,2,4,0,2,2,2,3,3,5,4
71,1,48,3,1,1,3,2,2,3,2,2,3,2,3,7,3
72,1,46,5,1,1,3,2,2,3,2,3,3,2,2,5,2
74,1,40,3,1,1,2,2,2,4,2,1,1,3,1,7,4
75,1,39,3,1,1,3,2,2,1,2,2,2,2,4,5,3
91,1,44,3,1,2,3,1,2,0,2,1,3,2,4,3,3
94,2,28,3,1,0,1,2,2,1,2,1,1,4,1,0,5
96,2,27,5,1,0,1,1,3,5,2,1,1,4,1,1,5
97,2,50,1,2,1,0,2,3,7,2,2,2,2,1,1,5
98,1,80,1,3,1,1,2,2,1,2,2,2,3,1,4,5
101,1,76,1,1,1,3,2,2,3,2,2,2,3,1,5,5
103,1,46,3,2,1,2,2,3,3,2,3,3,2,1,1,2
111,1,62,1,1,0,2,1,4,3,2,2,2,2,1,1,5
122,1,36,2,1,1,2,2,2,2,2,3,3,2,3,6,2
127,1,37,3,1,1,1,1,2,6,2,1,1,3,2,7,5
128,2,74,1,1,0,3,2,2,8,2,3,3,1,1,1,3
130,1,57,1,2,2,2,2,3,2,2,3,3,4,1,3,4
150,1,24,5,1,1,2,2,2,0,2,1,1,2,5,2,3
165,1,82,1,3,2,3,1,2,10,2,3,3,1,1,2,4
179,2,31,5,1,1,2,2,2,2,2,1,1,2,3,5,3
196,1,49,5,2,1,3,2,2,3,2,2,3,3,2,5,4
208,2,64,1,3,1,1,1,3,9,2,2,2,2,2,7,2
209,1,70,3,3,1,1,2,2,5,2,3,3,2,2,6,3
214,2,35,5,1,2,1,2,2,4,2,2,2,2,2,5,4
223,1,32,4,1,1,2,2,2,5,2,1,1,3,3,8,3
243,2,19,3,2,1,1,1,3,0,2,1,1,4,4,6,4
261,1,74,5,1,4,3,2,1,8,2,2,2,4,3,7,4
273,2,39,3,2,1,1,2,1,6,2,3,2,2,3,5,2
277,2,33,3,2,2,3,1,2,5,2,3,3,1,1,10,1
290,1,24,3,2,1,2,2,1,5,2,1,1,2,1,3,4
300,1,53,5,1,1,5,2,1,8,2,4,2,4,2,2,2
310,2,17,3,1,1,1,2,1,7,2,3,3,4,3,5,3
315,1,33,2,1,0,1,2,1,3,2,2,3,2,2,6,3
352,2,25,3,3,1,1,1,2,4,2,4,2,2,3,8,3
354,2,46,3,3,1,2,2,2,7,2,1,1,4,4,7,4
355,1,44,3,3,1,5,2,2,0,2,1,1,4,4,6,4
365,1,86,4,2,1,7,1,4,0,2,2,4,4,1,1,5
387,1,24,3,3,1,7,2,1,6,2,2,2,1,1,1,3
