"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","tvpol","nwsppol","crmvct","aesfdrk","health","rlgdgr","blgetmg","eimrcnt","eimpcnt","imhecop","imacrlv","imbghct","stimrdt","gndr","agea","edulvla","hincfel"
"ESS1e06_7",1,"6.7","23.11.2023",2,"ES",1.2672,2.3464944,2.0200796,4.7401056,1,1,2,2,2,3,2,2,2,3,2,5,3,2,17,1,8
"ESS1e06_7",1,"6.7","23.11.2023",5,"ES",0.8448,0.70053184,2.0200796,1.4151301,4,1,2,2,2,0,2,2,1,4,2,3,5,1,38,3,3
"ESS1e06_7",1,"6.7","23.11.2023",8,"ES",1.2672,2.413873,2.0200796,4.8762155,3,0,2,4,3,0,2,2,2,3,3,5,4,1,20,2,2
"ESS1e06_7",1,"6.7","23.11.2023",13,"ES",0.8652,1.0648167,2.0200796,2.1510146,66,66,2,1,2,0,2,4,4,4,2,2,4,1,22,2,2
"ESS1e06_7",1,"6.7","23.11.2023",15,"ES",0.8652,0.73702955,2.0200796,1.4888583,3,66,1,8,3,5,2,2,8,8,1,88,8,1,80,1,2
"ESS1e06_7",1,"6.7","23.11.2023",22,"ES",1.7304,2.1296334,2.0200796,4.302029,1,66,2,2,2,3,2,2,1,4,4,7,4,1,16,2,1
"ESS1e06_7",1,"6.7","23.11.2023",23,"ES",0.4326,0.41509965,2.0200796,0.83853436,0,66,2,2,2,8,2,3,3,2,2,88,1,2,61,1,3
"ESS1e06_7",1,"6.7","23.11.2023",25,"ES",1.7941,2.9828842,2.0200796,6.0256634,3,1,2,2,2,3,7,1,1,5,5,3,5,1,22,5,1
"ESS1e06_7",1,"6.7","23.11.2023",27,"ES",1.3456,0.6275136,2.0200796,1.2676274,0,66,2,3,2,3,2,1,1,4,3,5,4,2,40,3,2
"ESS1e06_7",1,"6.7","23.11.2023",31,"ES",0.897,0.4183113,2.0200796,0.84502214,2,66,2,2,1,6,2,3,3,4,2,2,5,2,42,3,3
"ESS1e06_7",1,"6.7","23.11.2023",36,"ES",1.3456,1.1313396,2.0200796,2.2853959,1,66,1,2,3,4,2,4,3,2,1,88,3,2,45,5,2
"ESS1e06_7",1,"6.7","23.11.2023",37,"ES",1.7045,2.0977578,2.0200796,4.237638,1,66,1,2,2,2,2,3,3,4,2,88,3,1,32,2,2
"ESS1e06_7",1,"6.7","23.11.2023",38,"ES",0.8522,0.8177252,2.0200796,1.65187,1,66,2,2,3,7,2,3,3,8,8,88,8,2,68,1,3
"ESS1e06_7",1,"6.7","23.11.2023",41,"ES",0.8522,0.72595537,2.0200796,1.4664876,1,66,2,2,2,2,2,8,8,2,8,88,8,1,82,1,3
"ESS1e06_7",1,"6.7","23.11.2023",42,"ES",0.4261,0.4088626,2.0200796,0.825935,0,66,2,3,2,4,2,3,3,2,2,88,8,2,57,1,2
"ESS1e06_7",1,"6.7","23.11.2023",43,"ES",1.2784,1.0890182,2.0200796,2.1999035,2,1,2,2,2,2,2,8,8,8,3,88,3,1,78,1,2
"ESS1e06_7",1,"6.7","23.11.2023",46,"ES",0.4261,0.4088626,2.0200796,0.825935,1,66,2,2,4,4,2,8,8,8,8,88,8,2,87,1,2
"ESS1e06_7",1,"6.7","23.11.2023",47,"ES",0.7451,0.7149578,2.0200796,1.4442716,3,66,2,4,4,10,2,1,1,2,1,88,4,2,71,1,1
"ESS1e06_7",1,"6.7","23.11.2023",48,"ES",0.7451,0.6347211,2.0200796,1.2821871,3,66,2,2,4,2,2,4,4,2,2,88,8,1,83,1,2
"ESS1e06_7",1,"6.7","23.11.2023",49,"ES",1.1177,1.5121849,2.0200796,3.0547338,1,66,2,1,3,5,2,4,4,2,1,2,3,1,38,1,1
"ESS1e06_7",1,"6.7","23.11.2023",51,"ES",0.3726,0.35752687,2.0200796,0.72223276,1,66,2,2,3,5,2,3,3,8,8,88,2,2,71,1,2
"ESS1e06_7",1,"6.7","23.11.2023",53,"ES",1.4902,1.8340151,2.0200796,3.7048566,1,66,2,1,2,2,2,1,2,2,3,2,5,1,17,2,1
"ESS1e06_7",1,"6.7","23.11.2023",54,"ES",0.7451,0.8914111,2.0200796,1.8007214,2,66,2,3,2,7,2,3,3,4,2,5,4,2,22,2,2
"ESS1e06_7",1,"6.7","23.11.2023",55,"ES",0.7451,0.7149578,2.0200796,1.4442716,1,66,2,2,4,6,2,4,4,8,8,88,8,2,80,1,3
"ESS1e06_7",1,"6.7","23.11.2023",59,"ES",0.923,0.88566107,2.0200796,1.7891059,0,66,2,2,3,4,2,3,8,8,8,88,8,2,76,1,3
"ESS1e06_7",1,"6.7","23.11.2023",60,"ES",1.3845,1.8731501,2.0200796,3.7839124,1,66,2,2,2,4,2,4,4,4,2,5,8,1,53,1,2
"ESS1e06_7",1,"6.7","23.11.2023",61,"ES",0.4615,0.44283053,2.0200796,0.89455295,1,66,2,2,3,5,2,3,3,2,2,4,3,2,83,1,3
"ESS1e06_7",1,"6.7","23.11.2023",64,"ES",0.923,0.88566107,2.0200796,1.7891059,1,66,2,2,4,5,2,3,3,8,2,6,8,2,76,1,3
"ESS1e06_7",1,"6.7","23.11.2023",66,"ES",0.923,0.78626704,2.0200796,1.588322,2,66,2,2,4,3,2,3,3,2,2,88,8,1,62,1,3
"ESS1e06_7",1,"6.7","23.11.2023",68,"ES",1.3651,1.0188773,2.0200796,2.0582132,2,66,2,2,2,3,2,2,2,2,4,6,3,2,26,3,1
"ESS1e06_7",1,"6.7","23.11.2023",69,"ES",0.6825,0.40827703,2.0200796,0.8247521,2,1,2,2,2,0,2,1,1,2,4,88,3,1,28,4,2
"ESS1e06_7",1,"6.7","23.11.2023",71,"ES",1.3651,0.8210393,2.0200796,1.6585648,3,1,2,2,2,3,2,2,3,2,3,7,3,1,48,3,1
"ESS1e06_7",1,"6.7","23.11.2023",72,"ES",1.0238,1.297414,2.0200796,2.6208794,3,1,2,2,2,3,2,3,3,2,2,5,2,1,46,5,1
"ESS1e06_7",1,"6.7","23.11.2023",73,"ES",0.3413,0.36765334,2.0200796,0.742689,1,66,2,2,4,7,2,2,2,2,2,88,3,2,74,1,3
"ESS1e06_7",1,"6.7","23.11.2023",74,"ES",0.6825,0.4104896,2.0200796,0.82922167,2,1,2,2,2,4,2,1,1,3,1,7,4,1,40,3,1
"ESS1e06_7",1,"6.7","23.11.2023",75,"ES",0.6825,0.4104896,2.0200796,0.82922167,3,1,2,2,1,1,2,2,2,2,4,5,3,1,39,3,1
"ESS1e06_7",1,"6.7","23.11.2023",76,"ES",1.0238,0.53599244,2.0200796,1.0827475,3,1,2,2,1,2,2,3,3,2,3,88,3,2,37,3,2
"ESS1e06_7",1,"6.7","23.11.2023",77,"ES",0.8614,1.1569238,2.0200796,2.337078,2,66,2,2,2,3,2,8,3,2,3,88,3,2,29,1,1
"ESS1e06_7",1,"6.7","23.11.2023",80,"ES",0.8614,0.92791265,2.0200796,1.8744575,1,66,2,2,3,7,2,2,2,2,8,2,2,2,64,1,2
"ESS1e06_7",1,"6.7","23.11.2023",83,"ES",0.8614,1.1901443,2.0200796,2.4041862,2,1,2,3,3,0,2,2,3,2,3,88,2,1,26,2,1
"ESS1e06_7",1,"6.7","23.11.2023",84,"ES",1.2921,0.7930086,2.0200796,1.6019405,6,66,1,8,3,9,2,1,3,4,2,8,2,1,77,3,1
"ESS1e06_7",1,"6.7","23.11.2023",89,"ES",1.997,2.6821184,2.0200796,5.4180927,0,66,1,3,2,6,1,4,4,8,1,88,1,2,22,2,3
"ESS1e06_7",1,"6.7","23.11.2023",90,"ES",1.6642,2.2993245,2.0200796,4.644819,1,66,2,2,3,0,1,2,4,2,1,88,2,1,23,2,3
"ESS1e06_7",1,"6.7","23.11.2023",91,"ES",0.6657,0.40038523,2.0200796,0.80881006,3,2,1,2,2,0,2,1,3,2,4,3,3,1,44,3,1
"ESS1e06_7",1,"6.7","23.11.2023",92,"ES",0.6657,0.34851548,2.0200796,0.704029,2,1,2,2,3,0,2,2,2,2,3,88,3,2,35,3,1
"ESS1e06_7",1,"6.7","23.11.2023",93,"ES",0.6657,0.66431534,2.0200796,1.3419698,2,66,2,4,3,5,2,1,3,2,1,88,2,2,53,1,3
"ESS1e06_7",1,"6.7","23.11.2023",94,"ES",0.6657,0.49686223,2.0200796,1.0037012,1,0,2,2,1,1,2,1,1,4,1,0,5,2,28,3,1
"ESS1e06_7",1,"6.7","23.11.2023",95,"ES",0.9985,1.0755988,2.0200796,2.1727953,2,66,1,3,3,9,2,3,3,3,1,1,3,2,60,1,3
"ESS1e06_7",1,"6.7","23.11.2023",96,"ES",0.6657,0.8958103,2.0200796,1.8096081,1,0,1,3,3,5,2,1,1,4,1,1,5,2,27,5,1
"ESS1e06_7",1,"6.7","23.11.2023",97,"ES",0.3328,0.33210778,2.0200796,0.67088413,0,1,2,3,2,7,2,2,2,2,1,1,5,2,50,1,2
"ESS1e06_7",1,"6.7","23.11.2023",98,"ES",0.6657,0.63662446,2.0200796,1.2860321,1,1,2,2,4,1,2,2,2,3,1,4,5,1,80,1,3
"ESS1e06_7",1,"6.7","23.11.2023",100,"ES",0.6657,0.71710175,2.0200796,1.4486027,3,66,2,3,3,7,2,4,4,2,2,88,2,2,66,1,2
"ESS1e06_7",1,"6.7","23.11.2023",101,"ES",0.7787,0.74468905,2.0200796,1.5043311,3,1,2,2,3,3,2,2,2,3,1,5,5,1,76,1,1
